央视频道,#genre#
开封新闻综合,http://219.150.217.47:6610/PLTV1/1800/index.m3u8?
开封文化旅游,http://219.150.217.47:6610/PLTV1/1820/index.m3u8?
新闻综合,http://219.150.217.47:6610/PLTV1/1840/index.m3u8?
科教频道,http://219.150.217.47:6610/PLTV1/1860/index.m3u8?
文旅频道,http://219.150.217.47:6610/PLTV1/1880/index.m3u8?
新闻综合,http://219.150.217.47:6610/PLTV1/1900/index.m3u8?
城市频道,http://219.150.217.47:6610/PLTV1/1920/index.m3u8?
公共频道,http://219.150.217.47:6610/PLTV1/1940/index.m3u8?
新闻综合,http://219.150.217.47:6610/PLTV1/1960/index.m3u8?
文旅,http://219.150.217.47:6610/PLTV1/1980/index.m3u8?
新闻综合,http://219.150.217.47:6610/PLTV1/2000/index.m3u8?
新乡新闻综合,http://222.85.81.15:6060/PLTV2/2020/index.m3u8?
新乡公共,http://222.85.81.15:6060/PLTV2/2040/index.m3u8?
焦作综合,http://222.85.81.15:6060/PLTV2/2060/index.m3u8?
焦作公共,http://222.85.81.15:6060/PLTV2/2080/index.m3u8?
濮阳综合,http://222.85.81.15:6060/PLTV2/2140/index.m3u8?
濮阳公共,http://222.85.81.15:6060/PLTV2/2120/index.m3u8?
许昌综合,http://222.85.81.15:6060/PLTV2/2180/index.m3u8?
许昌农业科教,http://222.85.81.15:6060/PLTV2/2160/index.m3u8?
漯河新闻综合,http://222.85.81.15:6060/PLTV2/2220/index.m3u8?
新闻综合,http://222.85.81.15:6060/PLTV2/2240/index.m3u8?
商丘新闻综合,http://222.85.81.15:6060/PLTV2/2260/index.m3u8?
商丘公共频道,http://222.85.81.15:6060/PLTV2/2280/index.m3u8?
商丘文体科教,http://222.85.81.15:6060/PLTV2/2300/index.m3u8?
周口新闻综合,http://222.85.81.15:6060/PLTV2/2320/index.m3u8?
周口公共频道,http://222.85.81.15:6060/PLTV2/2340/index.m3u8?
周口教育频道,http://222.85.81.15:6060/PLTV2/2360/index.m3u8?
驻马店新闻综合频道,http://222.85.81.15:6060/PLTV2/2380/index.m3u8?
驻马店科教频道,http://222.85.81.15:6060/PLTV2/2400/index.m3u8?
驻马店公共频道,http://222.85.81.15:6060/PLTV2/2420/index.m3u8?
南阳新闻综合,http://222.85.81.15:6060/PLTV2/2440/index.m3u8?
南阳公共,http://222.85.81.15:6060/PLTV2/2460/index.m3u8?
南阳科教,http://222.85.81.15:6060/PLTV2/2480/index.m3u8?
信阳新闻综合,http://222.85.81.15:6060/PLTV2/2500/index.m3u8?
信阳文旅频道,http://222.85.81.15:6060/PLTV2/2520/index.m3u8?
浉河广电中心,http://222.85.81.15:6060/PLTV2/2540/index.m3u8?
平桥广电中心,http://222.85.81.15:6060/PLTV2/2560/index.m3u8?
济源-1,http://222.85.81.15:6060/PLTV2/2580/index.m3u8?
舞钢电视台-1,http://222.85.81.15:6060/PLTV2/2620/index.m3u8?
内黄综合,http://222.85.81.15:6060/PLTV2/2640/index.m3u8?
项城电视台,http://222.85.81.15:6060/PLTV2/2660/index.m3u8?
MCTV新闻综合,http://222.85.81.15:6060/PLTV2/3860/index.m3u8?
新闻综合,http://222.85.81.15:6060/PLTV2/3900/index.m3u8?
郏县综合,http://222.85.81.15:6060/PLTV2/3910/index.m3u8?
综合,http://222.85.81.15:6060/PLTV2/2720/index.m3u8?

戏曲曲剧频道,#genre#
《秦香莲》 全场●河南省团,http://gcw.bdcdn.shoujiduoduo.com/v/190318/114d1ca4f536bc0b172ceb9ddb07eb36.mp4
《借簪子》全场,http://gcw.bdcdn.shoujiduoduo.com/v/190428/002d8daebc70bfbe6e809d28b55084af.mp4
《赵氏孤儿》全场,http://gcw.bdcdn.shoujiduoduo.com/v/190325/870b319c7c76d1454305c961de3193d7.mp4
《五福临门》【全场】,http://gcw.bdcdn.shoujiduoduo.com/v/200302/3b18c2c8f578035387fc737d88dd8f9e.mp4
《武家坡》全场,http://gcw.bdcdn.shoujiduoduo.com/v/191207/d25810bf3aa56d64dcfa0722c0682570.mp4
《哑女告状》完整版,http://gcw.bdcdn.shoujiduoduo.com/v/200608/7fcc1b27a03acfbf1b7b8379370387fa.mp4
《打龙袍》,http://gcw.bdcdn.shoujiduoduo.com/v/191012/bb2fb4f0811d29c56dd6edfd9427b752.mp4
《吴汉杀妻》,http://gcw.bdcdn.shoujiduoduo.com/v/190213/bccccb0837a838d9996b9fae89e4d493.mp4
《包公辞朝》怒打王强-马遂合演唱,http://gcw.bdcdn.shoujiduoduo.com/v/191207/e3686f25f7c417454dbd2be4d0fbc87b.mp4
《背靴访帅》,http://gcw.bdcdn.shoujiduoduo.com/v/200831/2d7d5874b132f83b8f6d7c2e24ee3cdf.mp4
《背靴访帅》姜还是老的辣!,http://gcw.bdcdn.shoujiduoduo.com/v/200919/906b70f4cd6f3ad139a2d4986cc48a78.mp4
《陈三两》 陈三两迈步上公庭,http://gcw.bdcdn.shoujiduoduo.com/v/210118/6c7200369ec769f15448231b47e8bab3.mp4
《楚山宝》,http://gcw.bdcdn.shoujiduoduo.com/v/191122/1ade9113a8bcc9385cc6e9df9871a27e.mp4
《风雪配》,http://gcw.bdcdn.shoujiduoduo.com/v/190702/3e371e8c94d2e1070319298ce2f9c2b7.mp4
《风雪配》选段,http://gcw.bdcdn.shoujiduoduo.com/v/190315/5d17a97a41c3debe8551adc2928b1ed8.mp4
《风雪配》选段,http://gcw.bdcdn.shoujiduoduo.com/v/190404/59e91848a56166a30a275089daf59b9a.mp4
《柜中缘》,http://gcw.bdcdn.shoujiduoduo.com/v/190224/a43970035d5ea22b1d9e0e7b60415bd4.mp4
《荆钗记》,http://gcw.bdcdn.shoujiduoduo.com/v/190706/f24473d42d884882617f29ab1157b8ab.mp4
《卷席筒》,http://gcw.bdcdn.shoujiduoduo.com/v/190527/315a044c2b9cf3a17e2b37ef09e21cd5.mp4
《卷席筒》海连池 大老爷你稳坐在察院,http://gcw.bdcdn.shoujiduoduo.com/v/190511/4951d7d9e0b1a93c4fa696f45d5ac664.mp4
《卷席筒》海连池、刘兰玉、马二章(79年舞台版),http://gcw.bdcdn.shoujiduoduo.com/v/190501/effda381decab3a9da4e1d8090de384a.mp4
《卷席筒》海连池经典选段：小仓娃跪大堂诉冤枉,http://gcw.bdcdn.shoujiduoduo.com/v/190223/09e4765a1fdf115854f683e7fa863377.mp4
《卷席筒》选段 我的大老爷,http://gcw.bdcdn.shoujiduoduo.com/v/190527/315a044c2b9cf3a17e2b37ef09e21cd5.mp4
《卷席筒》选段 小仓娃我离了-登封小县”,http://gcw.bdcdn.shoujiduoduo.com/v/190602/8b28dec624f172d186f11fc7290c48ff.mp4
《卷席筒》选段,http://gcw.bdcdn.shoujiduoduo.com/v/200618/f72a7218b1eded2f2b7bf043176f92a7.mp4
《卷席筒》选段小仓娃生来灾星重,http://gcw.bdcdn.shoujiduoduo.com/v/190404/52298ebc73c6ef8b36a34ad9e09c924d.mp4
《寇准背靴》选段 小花园送饭,http://gcw.bdcdn.shoujiduoduo.com/v/200331/c24282ad8c68477224055f19d324b30e.mp4
《李豁子》选段,http://gcw.bdcdn.shoujiduoduo.com/v/201105/3e869cb57c096666978b871997e1781e.mp4
《李豁子离婚》选段,http://gcw.bdcdn.shoujiduoduo.com/v/201115/66568433507300287649a7579cfe59d0.mp4
《李豁子说媒》,http://gcw.bdcdn.shoujiduoduo.com/v/190218/94ace5d3a1f02e68621b32b0b3477b9f.mp4
《李豁子说媒》,http://gcw.bdcdn.shoujiduoduo.com/v/190404/fe8abd72959145ed7ca5b56342849b89.mp4
《李豁子说媒》,http://gcw.bdcdn.shoujiduoduo.com/v/190325/3635fa4901fb8f63a26cf623a9c3c549.mp4
《李豁子说媒》选段,http://gcw.bdcdn.shoujiduoduo.com/v/190404/fe8abd72959145ed7ca5b56342849b89.mp4
《李豁子说媒》选段,http://gcw.bdcdn.shoujiduoduo.com/v/190419/9e086a2c7ef700f51bb480e522a947ae.mp4
