
央视频道,#genre#
中国教育4,http://123.13.244.159:4000/rtp/225.1.4.171:1710
爱上4k,http://123.13.244.159:4000/rtp/225.1.4.162:1204
CGTN,http://123.13.244.159:4000/rtp/225.1.4.16:1045
CHC动作电影,http://123.13.244.159:4000/rtp/225.1.4.208:1261
CHC家庭影院,http://123.13.244.159:4000/rtp/225.1.4.209:1262
CHC电影,http://123.13.244.159:4000/rtp/225.1.4.207:1260
IPTV法治,http://123.13.244.159:4000/rtp/225.1.4.188:1237
IPTV相声小品,http://123.13.244.159:4000/rtp/225.1.4.186:1235
IPTV谍战剧场,http://123.13.244.159:4000/rtp/225.1.4.185:1240
IPTV野外,http://123.13.244.159:4000/rtp/225.1.4.187:1236
乒羽频道,http://123.13.244.159:4000/rtp/225.1.4.210:1263
体育竞技,http://123.13.244.159:4000/rtp/225.1.4.235:1281
军事,http://123.13.244.159:4000/rtp/225.1.4.181:1230
卡酷动画,http://123.13.244.159:4000/rtp/225.1.4.48:1077
嘉佳卡通,http://123.13.244.159:4000/rtp/225.1.4.92:1121
国学,http://123.13.244.159:4000/rtp/225.1.4.178:1227
国学频道,http://123.13.244.159:4000/rtp/225.1.4.196:1311
地理,http://123.13.244.159:4000/rtp/225.1.4.183:1232
大象新闻,http://123.13.244.159:4000/rtp/225.1.5.45:1355
央广购物,http://123.13.244.159:4000/rtp/225.1.4.230:1276
好享购物,http://123.13.244.159:4000/rtp/225.1.4.232:1278
好学生,http://123.13.244.159:4000/rtp/225.1.4.177:1226
家有购物,http://123.13.244.159:4000/rtp/225.1.4.223:1273
少儿动画,http://123.13.244.159:4000/rtp/225.1.4.189:1238
山东教育,http://123.13.244.159:4000/rtp/225.1.4.164:1205
快乐购,http://123.13.244.159:4000/rtp/225.1.4.231:1277
收视指南,http://123.13.244.159:4000/rtp/225.1.4.50:1079
新动漫,http://123.13.244.159:4000/rtp/225.1.4.212:1265
新蔡电视台,http://123.13.244.159:4000/rtp/225.1.5.29:1341
早教,http://123.13.244.159:4000/rtp/225.1.4.179:1228
欢腾购物,http://123.13.244.159:4000/rtp/225.1.4.236:1282
河南IPTV导视,http://123.13.244.159:4000/rtp/225.1.4.194:1244
河南乡村频道,http://123.13.244.159:4000/rtp/225.1.4.120:1149
河南公共频道,http://123.13.244.159:4000/rtp/225.1.4.58:1087
河南国际频道,http://123.13.244.159:4000/rtp/225.1.4.102:1131
河南文物宝库,http://123.13.244.159:4000/rtp/225.1.4.100:1129
河南新闻频道,http://123.13.244.159:4000/rtp/225.1.4.56:1085
河南梨园频道,http://123.13.244.159:4000/rtp/225.1.4.99:1128
河南欢腾购物,http://123.13.244.159:4000/rtp/225.1.4.57:1086
河南武术世界,http://123.13.244.159:4000/rtp/225.1.4.101:1130
河南民生频道,http://123.13.244.159:4000/rtp/225.1.4.53:1082
河南法治频道,http://123.13.244.159:4000/rtp/225.1.4.54:1083
河南电视剧频道,http://123.13.244.159:4000/rtp/225.1.4.55:1084
河南移动电视,http://123.13.244.159:4000/rtp/225.1.5.40:1350
